ground_height,lane_id,lane_type,left_lane_boundary,right_lane_boundary,left_lane_mark_type,right_lane_mark_type
,,,,,,
,56226604,VEHICLE,"[{'x': 6693.37, 'y': 1744.48, 'z': 59.51}, {'x': 6687.66, 'y': 1755.2, 'z': 59.25}]","[{'x': 6698.07, 'y': 1746.69, 'z': 59.45}, {'x': 6690.29, 'y': 1756.35, 'z': 59.18}]",DOUBLE_SOLID_YELLOW,NONE
,56226606,VEHICLE,"[{'x': 6700.39, 'y': 1731.07, 'z': 59.81}, {'x': 6701.09, 'y': 1729.59, 'z': 59.84}, {'x': 6701.77, 'y': 1728.16, 'z': 59.86}, {'x': 6702.33, 'y': 1726.93, 'z': 59.87}, {'x': 6702.89, 'y': 1725.65, 'z': 59.88}, {'x': 6703.19, 'y': 1724.51, 'z': 59.88}, {'x': 6703.37, 'y': 1723.44, 'z': 59.89}, {'x': 6703.44, 'y': 1722.44, 'z': 59.9}, {'x': 6703.41, 'y': 1721.51, 'z': 59.9}, {'x': 6703.29, 'y': 1720.65, 'z': 59.91}, {'x': 6703.08, 'y': 1719.84, 'z': 59.91}, {'x': 6702.8, 'y': 1719.1, 'z': 59.9}, {'x': 6702.44, 'y': 1718.41, 'z': 59.88}, {'x': 6702.03, 'y': 1717.77, 'z': 59.85}, {'x': 6701.56, 'y': 1717.17, 'z': 59.81}, {'x': 6701.04, 'y': 1716.62, 'z': 59.79}, {'x': 6700.49, 'y': 1716.11, 'z': 59.78}, {'x': 6699.91, 'y': 1715.63, 'z': 59.75}, {'x': 6699.3, 'y': 1715.18, 'z': 59.73}, {'x': 6698.68, 'y': 1714.77, 'z': 59.7}, {'x': 6698.05, 'y': 1714.37, 'z': 59.68}, {'x': 6697.43, 'y': 1714.0, 'z': 59.66}, {'x': 6696.81, 'y': 1713.65, 'z': 59.63}, {'x': 6696.21, 'y': 1713.3, 'z': 59.61}]","[{'x': 6696.55, 'y': 1729.02, 'z': 59.77}, {'x': 6697.37, 'y': 1727.57, 'z': 59.78}, {'x': 6698.02, 'y': 1726.3, 'z': 59.79}, {'x': 6698.52, 'y': 1725.18, 'z': 59.79}, {'x': 6698.86, 'y': 1724.21, 'z': 59.8}, {'x': 6699.05, 'y': 1723.36, 'z': 59.78}, {'x': 6699.11, 'y': 1722.62, 'z': 59.77}, {'x': 6699.04, 'y': 1721.97, 'z': 59.76}, {'x': 6698.85, 'y': 1721.39, 'z': 59.77}, {'x': 6698.55, 'y': 1720.86, 'z': 59.76}, {'x': 6698.14, 'y': 1720.38, 'z': 59.76}, {'x': 6697.04, 'y': 1719.45, 'z': 59.77}, {'x': 6696.37, 'y': 1718.98, 'z': 59.75}, {'x': 6695.62, 'y': 1718.48, 'z': 59.73}, {'x': 6694.81, 'y': 1717.93, 'z': 59.72}, {'x': 6693.89, 'y': 1717.38, 'z': 59.7}]",NONE,NONE
,56226647,VEHICLE,"[{'x': 6693.37, 'y': 1744.48, 'z': 59.51}, {'x': 6700.39, 'y': 1731.07, 'z': 59.81}]","[{'x': 6690.2, 'y': 1742.7, 'z': 59.52}, {'x': 6696.55, 'y': 1729.02, 'z': 59.77}]",DOUBLE_SOLID_YELLOW,NONE
,56226648,VEHICLE,"[{'x': 6698.63, 'y': 1709.12, 'z': 59.59}, {'x': 6716.87, 'y': 1721.96, 'z': 59.82}]","[{'x': 6700.69, 'y': 1705.57, 'z': 59.61}, {'x': 6717.97, 'y': 1718.73, 'z': 59.89}, {'x': 6718.81, 'y': 1719.04, 'z': 59.79}]",NONE,NONE
,56226649,VEHICLE,"[{'x': 6713.55, 'y': 1703.06, 'z': 60.43}, {'x': 6713.07, 'y': 1704.04, 'z': 60.38}, {'x': 6712.57, 'y': 1705.0, 'z': 60.34}, {'x': 6712.06, 'y': 1705.93, 'z': 60.31}, {'x': 6711.53, 'y': 1706.83, 'z': 60.28}, {'x': 6710.99, 'y': 1707.71, 'z': 60.26}, {'x': 6710.44, 'y': 1708.54, 'z': 60.23}, {'x': 6709.87, 'y': 1709.34, 'z': 60.19}, {'x': 6709.28, 'y': 1710.1, 'z': 60.16}, {'x': 6708.68, 'y': 1710.81, 'z': 60.13}, {'x': 6708.05, 'y': 1711.48, 'z': 60.1}, {'x': 6707.41, 'y': 1712.09, 'z': 60.07}, {'x': 6706.76, 'y': 1712.65, 'z': 60.05}, {'x': 6706.08, 'y': 1713.14, 'z': 60.03}, {'x': 6705.38, 'y': 1713.58, 'z': 60.0}, {'x': 6704.66, 'y': 1713.95, 'z': 59.96}, {'x': 6703.92, 'y': 1714.25, 'z': 59.92}, {'x': 6703.1, 'y': 1714.54, 'z': 59.87}, {'x': 6702.38, 'y': 1714.63, 'z': 59.83}, {'x': 6700.74, 'y': 1714.7, 'z': 59.75}, {'x': 6699.88, 'y': 1714.61, 'z': 59.73}, {'x': 6699.0, 'y': 1714.42, 'z': 59.7}, {'x': 6698.1, 'y': 1714.15, 'z': 59.67}, {'x': 6697.17, 'y': 1713.78, 'z': 59.64}, {'x': 6696.21, 'y': 1713.3, 'z': 59.61}]","[{'x': 6717.84, 'y': 1704.7, 'z': 60.43}, {'x': 6717.42, 'y': 1705.58, 'z': 60.39}, {'x': 6716.97, 'y': 1706.45, 'z': 60.35}, {'x': 6716.51, 'y': 1707.32, 'z': 60.31}, {'x': 6716.03, 'y': 1708.18, 'z': 60.29}, {'x': 6715.53, 'y': 1709.02, 'z': 60.26}, {'x': 6715.01, 'y': 1709.85, 'z': 60.23}, {'x': 6714.48, 'y': 1710.66, 'z': 60.2}, {'x': 6713.93, 'y': 1711.45, 'z': 60.19}, {'x': 6713.36, 'y': 1712.22, 'z': 60.17}, {'x': 6712.77, 'y': 1712.97, 'z': 60.15}, {'x': 6712.17, 'y': 1713.68, 'z': 60.13}, {'x': 6711.54, 'y': 1714.37, 'z': 60.13}, {'x': 6710.9, 'y': 1715.02, 'z': 60.12}, {'x': 6710.24, 'y': 1715.64, 'z': 60.11}, {'x': 6709.56, 'y': 1716.22, 'z': 60.1}, {'x': 6708.86, 'y': 1716.76, 'z': 60.09}, {'x': 6708.14, 'y': 1717.26, 'z': 60.08}, {'x': 6707.4, 'y': 1717.71, 'z': 60.07}, {'x': 6706.64, 'y': 1718.11, 'z': 60.05}, {'x': 6705.87, 'y': 1718.47, 'z': 60.02}, {'x': 6705.07, 'y': 1718.77, 'z': 59.98}, {'x': 6704.25, 'y': 1719.01, 'z': 59.95}, {'x': 6703.42, 'y': 1719.2, 'z': 59.92}, {'x': 6702.56, 'y': 1719.32, 'z': 59.89}, {'x': 6701.69, 'y': 1719.39, 'z': 59.85}, {'x': 6700.79, 'y': 1719.38, 'z': 59.8}, {'x': 6699.88, 'y': 1719.31, 'z': 59.78}, {'x': 6698.94, 'y': 1719.17, 'z': 59.77}, {'x': 6697.98, 'y': 1718.96, 'z': 59.75}, {'x': 6697.0, 'y': 1718.67, 'z': 59.73}, {'x': 6696.01, 'y': 1718.3, 'z': 59.71}, {'x': 6694.99, 'y': 1717.85, 'z': 59.71}, {'x': 6693.89, 'y': 1717.38, 'z': 59.7}]",NONE,NONE
,56226654,VEHICLE,"[{'x': 6680.5, 'y': 1770.0, 'z': 58.8}, {'x': 6677.99, 'y': 1775.6, 'z': 58.65}]","[{'x': 6684.0, 'y': 1770.0, 'z': 58.84}, {'x': 6680.76, 'y': 1776.89, 'z': 58.65}]",DOUBLE_SOLID_YELLOW,SOLID_WHITE
,56226677,VEHICLE,"[{'x': 6693.37, 'y': 1744.48, 'z': 59.51}, {'x': 6690.29, 'y': 1756.35, 'z': 59.18}]","[{'x': 6698.07, 'y': 1746.69, 'z': 59.45}, {'x': 6693.2, 'y': 1757.47, 'z': 59.2}]",NONE,NONE
,56226682,VEHICLE,"[{'x': 6698.63, 'y': 1709.12, 'z': 59.59}, {'x': 6699.31, 'y': 1709.61, 'z': 59.62}, {'x': 6699.96, 'y': 1710.08, 'z': 59.64}, {'x': 6700.6, 'y': 1710.54, 'z': 59.67}, {'x': 6701.21, 'y': 1711.0, 'z': 59.71}, {'x': 6702.34, 'y': 1711.91, 'z': 59.78}, {'x': 6702.85, 'y': 1712.38, 'z': 59.82}, {'x': 6703.33, 'y': 1712.86, 'z': 59.86}, {'x': 6703.76, 'y': 1713.36, 'z': 59.89}, {'x': 6704.15, 'y': 1713.88, 'z': 59.93}, {'x': 6704.49, 'y': 1714.43, 'z': 59.95}, {'x': 6704.78, 'y': 1715.02, 'z': 59.98}, {'x': 6705.01, 'y': 1715.64, 'z': 59.99}, {'x': 6705.18, 'y': 1716.31, 'z': 60.01}, {'x': 6705.29, 'y': 1717.02, 'z': 60.01}, {'x': 6705.33, 'y': 1717.78, 'z': 60.0}, {'x': 6705.3, 'y': 1718.61, 'z': 59.99}, {'x': 6705.2, 'y': 1719.49, 'z': 59.98}, {'x': 6705.02, 'y': 1720.45, 'z': 59.96}, {'x': 6704.76, 'y': 1721.47, 'z': 59.94}, {'x': 6704.42, 'y': 1722.57, 'z': 59.92}, {'x': 6703.99, 'y': 1723.76, 'z': 59.9}, {'x': 6703.47, 'y': 1725.03, 'z': 59.89}, {'x': 6702.85, 'y': 1726.39, 'z': 59.88}, {'x': 6702.13, 'y': 1727.84, 'z': 59.86}, {'x': 6701.32, 'y': 1729.4, 'z': 59.84}, {'x': 6700.39, 'y': 1731.07, 'z': 59.81}]","[{'x': 6700.69, 'y': 1705.57, 'z': 59.61}, {'x': 6701.18, 'y': 1706.07, 'z': 59.67}, {'x': 6701.58, 'y': 1706.37, 'z': 59.72}, {'x': 6702.01, 'y': 1706.67, 'z': 59.76}, {'x': 6702.48, 'y': 1706.99, 'z': 59.78}, {'x': 6702.96, 'y': 1707.32, 'z': 59.81}, {'x': 6703.47, 'y': 1707.67, 'z': 59.83}, {'x': 6703.99, 'y': 1708.03, 'z': 59.84}, {'x': 6704.52, 'y': 1708.43, 'z': 59.88}, {'x': 6705.06, 'y': 1708.84, 'z': 59.91}, {'x': 6705.59, 'y': 1709.29, 'z': 59.93}, {'x': 6706.11, 'y': 1709.76, 'z': 59.98}, {'x': 6706.62, 'y': 1710.26, 'z': 60.03}, {'x': 6707.11, 'y': 1710.81, 'z': 60.05}, {'x': 6707.58, 'y': 1711.38, 'z': 60.08}, {'x': 6708.02, 'y': 1712.0, 'z': 60.1}, {'x': 6708.42, 'y': 1712.66, 'z': 60.13}, {'x': 6708.79, 'y': 1713.37, 'z': 60.15}, {'x': 6709.1, 'y': 1714.13, 'z': 60.14}, {'x': 6709.37, 'y': 1714.93, 'z': 60.13}, {'x': 6709.59, 'y': 1715.79, 'z': 60.11}, {'x': 6709.74, 'y': 1716.7, 'z': 60.09}, {'x': 6709.82, 'y': 1717.67, 'z': 60.06}, {'x': 6709.84, 'y': 1718.71, 'z': 60.04}, {'x': 6709.77, 'y': 1719.8, 'z': 60.01}, {'x': 6709.62, 'y': 1720.96, 'z': 59.97}, {'x': 6709.39, 'y': 1722.19, 'z': 59.94}, {'x': 6709.06, 'y': 1723.49, 'z': 59.91}, {'x': 6708.49, 'y': 1724.86, 'z': 59.89}, {'x': 6707.36, 'y': 1727.39, 'z': 59.85}, {'x': 6704.83, 'y': 1732.9, 'z': 59.72}]",NONE,NONE
,56226699,VEHICLE,"[{'x': 6687.66, 'y': 1755.2, 'z': 59.25}, {'x': 6693.37, 'y': 1744.48, 'z': 59.51}]","[{'x': 6684.77, 'y': 1754.18, 'z': 59.27}, {'x': 6690.2, 'y': 1742.7, 'z': 59.52}]",DOUBLE_SOLID_YELLOW,NONE
,56226715,VEHICLE,"[{'x': 6690.29, 'y': 1756.35, 'z': 59.18}, {'x': 6684.0, 'y': 1770.0, 'z': 58.84}]","[{'x': 6693.2, 'y': 1757.47, 'z': 59.2}, {'x': 6691.94, 'y': 1760.08, 'z': 59.09}, {'x': 6687.23, 'y': 1770.0, 'z': 58.85}]",SOLID_WHITE,NONE
,56226716,VEHICLE,"[{'x': 6680.5, 'y': 1770.0, 'z': 58.8}, {'x': 6683.31, 'y': 1763.97, 'z': 58.98}, {'x': 6687.66, 'y': 1755.2, 'z': 59.25}]","[{'x': 6677.41, 'y': 1770.0, 'z': 58.78}, {'x': 6684.77, 'y': 1754.18, 'z': 59.27}]",DOUBLE_SOLID_YELLOW,NONE
,56226741,VEHICLE,"[{'x': 6713.55, 'y': 1703.06, 'z': 60.43}, {'x': 6724.54, 'y': 1680.0, 'z': 60.79}]","[{'x': 6709.56, 'y': 1701.3, 'z': 60.36}, {'x': 6714.06, 'y': 1691.55, 'z': 60.81}, {'x': 6719.57, 'y': 1680.0, 'z': 60.84}]",DOUBLE_SOLID_YELLOW,NONE
,56226750,VEHICLE,"[{'x': 6716.87, 'y': 1721.96, 'z': 59.82}, {'x': 6716.36, 'y': 1721.74, 'z': 59.88}, {'x': 6715.71, 'y': 1721.44, 'z': 59.95}, {'x': 6715.11, 'y': 1721.14, 'z': 60.02}, {'x': 6714.44, 'y': 1720.87, 'z': 60.07}, {'x': 6713.87, 'y': 1720.61, 'z': 60.09}, {'x': 6713.3, 'y': 1720.27, 'z': 60.1}, {'x': 6712.77, 'y': 1719.91, 'z': 60.09}, {'x': 6712.27, 'y': 1719.5, 'z': 60.08}, {'x': 6711.81, 'y': 1719.06, 'z': 60.07}, {'x': 6711.4, 'y': 1718.58, 'z': 60.04}, {'x': 6711.04, 'y': 1718.05, 'z': 60.05}, {'x': 6710.73, 'y': 1717.46, 'z': 60.06}, {'x': 6710.47, 'y': 1716.82, 'z': 60.08}, {'x': 6710.28, 'y': 1716.11, 'z': 60.1}, {'x': 6710.16, 'y': 1715.34, 'z': 60.12}, {'x': 6710.11, 'y': 1714.51, 'z': 60.13}, {'x': 6710.13, 'y': 1713.59, 'z': 60.15}, {'x': 6710.24, 'y': 1712.6, 'z': 60.17}, {'x': 6710.42, 'y': 1711.52, 'z': 60.19}, {'x': 6710.51, 'y': 1710.47, 'z': 60.2}, {'x': 6710.61, 'y': 1709.52, 'z': 60.23}, {'x': 6710.88, 'y': 1708.5, 'z': 60.24}, {'x': 6711.12, 'y': 1707.82, 'z': 60.26}, {'x': 6711.83, 'y': 1706.31, 'z': 60.3}, {'x': 6712.34, 'y': 1705.43, 'z': 60.32}, {'x': 6713.06, 'y': 1704.03, 'z': 60.38}, {'x': 6713.55, 'y': 1703.06, 'z': 60.43}]","[{'x': 6715.0, 'y': 1724.98, 'z': 59.84}, {'x': 6714.21, 'y': 1724.66, 'z': 59.88}, {'x': 6713.24, 'y': 1724.26, 'z': 59.93}, {'x': 6712.42, 'y': 1723.89, 'z': 59.99}, {'x': 6711.74, 'y': 1723.59, 'z': 60.01}, {'x': 6710.95, 'y': 1723.19, 'z': 59.99}, {'x': 6710.27, 'y': 1722.73, 'z': 59.98}, {'x': 6709.65, 'y': 1722.23, 'z': 59.94}, {'x': 6709.09, 'y': 1721.69, 'z': 59.95}, {'x': 6708.58, 'y': 1721.1, 'z': 59.97}, {'x': 6708.12, 'y': 1720.48, 'z': 60.0}, {'x': 6707.72, 'y': 1719.82, 'z': 60.02}, {'x': 6707.37, 'y': 1719.13, 'z': 60.04}, {'x': 6707.07, 'y': 1718.39, 'z': 60.06}, {'x': 6706.83, 'y': 1717.63, 'z': 60.07}, {'x': 6706.49, 'y': 1715.99, 'z': 60.06}, {'x': 6706.4, 'y': 1715.12, 'z': 60.06}, {'x': 6706.35, 'y': 1714.22, 'z': 60.06}, {'x': 6706.36, 'y': 1713.21, 'z': 60.05}, {'x': 6706.41, 'y': 1712.34, 'z': 60.03}, {'x': 6706.51, 'y': 1711.35, 'z': 60.02}, {'x': 6706.66, 'y': 1710.34, 'z': 60.03}, {'x': 6706.86, 'y': 1709.3, 'z': 60.04}, {'x': 6707.1, 'y': 1708.24, 'z': 60.07}, {'x': 6707.39, 'y': 1707.15, 'z': 60.1}, {'x': 6707.72, 'y': 1706.04, 'z': 60.13}, {'x': 6708.1, 'y': 1704.9, 'z': 60.18}, {'x': 6708.52, 'y': 1703.75, 'z': 60.24}, {'x': 6708.98, 'y': 1702.58, 'z': 60.29}, {'x': 6709.56, 'y': 1701.3, 'z': 60.36}]",NONE,NONE
,56226775,VEHICLE,"[{'x': 6696.21, 'y': 1713.3, 'z': 59.61}, {'x': 6686.17, 'y': 1707.61, 'z': 59.1}]","[{'x': 6693.89, 'y': 1717.38, 'z': 59.7}, {'x': 6683.63, 'y': 1711.63, 'z': 59.26}]",DOUBLE_SOLID_YELLOW,NONE
,56226776,VEHICLE,"[{'x': 6716.87, 'y': 1721.96, 'z': 59.82}, {'x': 6696.21, 'y': 1713.3, 'z': 59.61}]","[{'x': 6715.0, 'y': 1724.98, 'z': 59.84}, {'x': 6693.89, 'y': 1717.38, 'z': 59.7}]",NONE,NONE
,56226795,VEHICLE,"[{'x': 6700.39, 'y': 1731.07, 'z': 59.81}, {'x': 6693.37, 'y': 1744.48, 'z': 59.51}]","[{'x': 6704.83, 'y': 1732.9, 'z': 59.72}, {'x': 6698.07, 'y': 1746.69, 'z': 59.45}]",DOUBLE_SOLID_YELLOW,NONE
,56226811,VEHICLE,"[{'x': 6724.54, 'y': 1680.0, 'z': 60.79}, {'x': 6713.55, 'y': 1703.06, 'z': 60.43}]","[{'x': 6729.44, 'y': 1680.0, 'z': 60.74}, {'x': 6725.54, 'y': 1688.36, 'z': 60.78}, {'x': 6717.84, 'y': 1704.7, 'z': 60.43}]",DOUBLE_SOLID_YELLOW,NONE
,56226813,BIKE,"[{'x': 6661.76, 'y': 1808.05, 'z': 58.52}, {'x': 6677.99, 'y': 1775.6, 'z': 58.65}]","[{'x': 6660.37, 'y': 1807.46, 'z': 58.53}, {'x': 6675.37, 'y': 1774.32, 'z': 58.67}]",NONE,NONE
,56226850,VEHICLE,"[{'x': 6700.39, 'y': 1731.07, 'z': 59.81}, {'x': 6701.24, 'y': 1729.23, 'z': 59.84}, {'x': 6701.86, 'y': 1727.9, 'z': 59.86}, {'x': 6702.43, 'y': 1726.68, 'z': 59.88}, {'x': 6702.94, 'y': 1725.59, 'z': 59.88}, {'x': 6703.45, 'y': 1724.74, 'z': 59.89}, {'x': 6704.3, 'y': 1723.62, 'z': 59.91}, {'x': 6705.14, 'y': 1722.68, 'z': 59.93}, {'x': 6705.88, 'y': 1721.91, 'z': 59.95}, {'x': 6706.57, 'y': 1721.24, 'z': 59.97}, {'x': 6707.24, 'y': 1720.7, 'z': 59.99}, {'x': 6707.9, 'y': 1720.29, 'z': 60.01}, {'x': 6708.55, 'y': 1719.98, 'z': 60.01}, {'x': 6709.18, 'y': 1719.78, 'z': 60.01}, {'x': 6709.82, 'y': 1719.68, 'z': 60.01}, {'x': 6710.44, 'y': 1719.66, 'z': 60.01}, {'x': 6711.07, 'y': 1719.71, 'z': 60.03}, {'x': 6711.69, 'y': 1719.83, 'z': 60.06}, {'x': 6712.32, 'y': 1720.0, 'z': 60.07}, {'x': 6712.96, 'y': 1720.22, 'z': 60.09}, {'x': 6713.6, 'y': 1720.48, 'z': 60.1}, {'x': 6714.26, 'y': 1720.77, 'z': 60.08}, {'x': 6714.92, 'y': 1721.07, 'z': 60.04}, {'x': 6715.6, 'y': 1721.39, 'z': 59.96}, {'x': 6716.3, 'y': 1721.7, 'z': 59.89}, {'x': 6716.87, 'y': 1721.96, 'z': 59.82}]","[{'x': 6696.55, 'y': 1729.02, 'z': 59.77}, {'x': 6697.43, 'y': 1727.25, 'z': 59.79}, {'x': 6698.29, 'y': 1725.62, 'z': 59.8}, {'x': 6699.15, 'y': 1724.15, 'z': 59.79}, {'x': 6699.99, 'y': 1722.83, 'z': 59.8}, {'x': 6700.82, 'y': 1721.63, 'z': 59.83}, {'x': 6701.65, 'y': 1720.57, 'z': 59.86}, {'x': 6702.46, 'y': 1719.64, 'z': 59.88}, {'x': 6703.26, 'y': 1718.83, 'z': 59.91}, {'x': 6704.05, 'y': 1718.12, 'z': 59.95}, {'x': 6704.83, 'y': 1717.53, 'z': 59.99}, {'x': 6705.6, 'y': 1717.04, 'z': 60.02}, {'x': 6706.36, 'y': 1716.64, 'z': 60.06}, {'x': 6707.11, 'y': 1716.33, 'z': 60.08}, {'x': 6707.85, 'y': 1716.11, 'z': 60.1}, {'x': 6708.58, 'y': 1715.96, 'z': 60.11}, {'x': 6709.3, 'y': 1715.89, 'z': 60.11}, {'x': 6710.02, 'y': 1715.88, 'z': 60.11}, {'x': 6710.72, 'y': 1715.93, 'z': 60.1}, {'x': 6711.41, 'y': 1716.03, 'z': 60.09}, {'x': 6712.1, 'y': 1716.19, 'z': 60.08}, {'x': 6712.77, 'y': 1716.38, 'z': 60.11}, {'x': 6713.44, 'y': 1716.61, 'z': 60.16}, {'x': 6714.09, 'y': 1716.87, 'z': 60.19}, {'x': 6714.74, 'y': 1717.15, 'z': 60.22}, {'x': 6715.38, 'y': 1717.45, 'z': 60.21}, {'x': 6716.01, 'y': 1717.76, 'z': 60.13}, {'x': 6716.63, 'y': 1718.08, 'z': 60.05}, {'x': 6717.25, 'y': 1718.4, 'z': 59.95}, {'x': 6717.82, 'y': 1718.68, 'z': 59.9}, {'x': 6718.45, 'y': 1718.95, 'z': 59.84}, {'x': 6718.81, 'y': 1719.04, 'z': 59.79}]",NONE,NONE
,56226878,VEHICLE,"[{'x': 6677.99, 'y': 1775.6, 'z': 58.65}, {'x': 6680.5, 'y': 1770.0, 'z': 58.8}]","[{'x': 6675.37, 'y': 1774.32, 'z': 58.67}, {'x': 6675.54, 'y': 1773.95, 'z': 58.68}, {'x': 6677.41, 'y': 1770.0, 'z': 58.78}]",DOUBLE_SOLID_YELLOW,NONE
,56226879,VEHICLE,"[{'x': 6700.39, 'y': 1731.07, 'z': 59.81}, {'x': 6713.55, 'y': 1703.06, 'z': 60.43}]","[{'x': 6696.55, 'y': 1729.02, 'z': 59.77}, {'x': 6697.68, 'y': 1726.62, 'z': 59.8}, {'x': 6698.16, 'y': 1725.61, 'z': 59.81}, {'x': 6708.65, 'y': 1703.18, 'z': 60.27}, {'x': 6709.56, 'y': 1701.3, 'z': 60.36}]",NONE,NONE
